0,281,ANPC,"AnPac Bio-Medical Science Co., Ltd.",Healthcare,Biotechnology,China,45.77M,-
1,282,ANSS,"ANSYS, Inc.",Technology,Software - Application,USA,28.16B,69.18
2,283,ANTE,AirNet Technology Inc.,Communication Services,Advertising Agencies,China,11.32M,-
3,284,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,65.79B,11.33
4,285,ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,USA,33.41M,-
5,286,ANY,Sphere 3D Corp.,Technology,Software - Application,Canada,17.66M,-
6,287,AON,Aon Plc,Financial,Insurance Brokers,United Kingdom,47.06B,26.91
7,288,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,7.84B,26.61
8,289,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA,322.57M,-
9,290,AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,USA,390.02M,-
